refDate,reporterISO,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,primaryValue,value_per_unit
2024-10-01,SGP,Singapore,Import,World,284330,Gold compounds,kg,511.63,False,511.63,False,0.0,False,17379973.253,33969.808754373276
2024-10-01,SGP,Singapore,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,1676.54,False,1676.54,False,0.0,False,142834951.031,85196.26792739809
2024-10-01,SVK,Slovakia,Import,World,284330,Gold compounds,kg,1.324,False,3.0,False,0.0,False,21549.172,16275.809667673715
2024-10-01,SVN,Slovenia,Import,World,284330,Gold compounds,kg,0.7,False,0.7,False,0.0,False,42119.452,60170.64571428572
2024-10-01,SVN,Slovenia,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,424.486,False,415.14,False,0.0,False,35028907.734,82520.76095324698
2024-10-01,SVN,Slovenia,Import,World,710811,"Metals; gold, non-monetary, powder",kg,0.18,False,0.18,False,0.0,False,731.147,4061.9277777777784
2024-10-01,SVN,Slovenia,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,282.841,False,280.092,False,0.0,False,23979622.365,84781.28123221172
2024-10-01,SVN,Slovenia,Import,World,710813,"Metals; gold, semi-manufactured",kg,141.466,False,134.868,False,0.0,False,11048554.221,78100.42145109072
2024-10-01,ZAF,South Africa,Import,World,284330,Gold compounds,kg,0.093,True,0.0,True,0.0,False,3829.954,41182.30107526882
2024-10-01,ZAF,South Africa,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,1453.28,True,0.0,True,0.0,False,94851147.503,65266.94615146428
2024-10-01,ZAF,South Africa,Import,World,710811,"Metals; gold, non-monetary, powder",kg,0.0,True,0.0,True,0.0,False,29.954,inf
2024-10-01,ZAF,South Africa,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,4.465,True,0.0,True,0.0,False,295093.465,66090.36170212767
2024-10-01,ZAF,South Africa,Import,World,710813,"Metals; gold, semi-manufactured",kg,1448.814,True,0.0,True,0.0,False,94556024.083,65264.43289683838
2024-10-01,ESP,Spain,Import,World,284330,Gold compounds,kg,1543.246,False,2255.649,False,0.0,False,4438559.858,2876.1194637795916
2024-10-01,ESP,Spain,Import,World,710811,"Metals; gold, non-monetary, powder",kg,0.49,False,0.491,False,0.0,False,59124.791,120662.8387755102
2024-10-01,ESP,Spain,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,142.971,False,145.425,False,0.0,False,11758917.164,82246.8693930937
2024-10-01,SWE,Sweden,Import,World,284330,Gold compounds,kg,4.772,False,4.772,False,0.0,False,13193.11,2764.6919530595137
2024-10-01,CHE,Switzerland,Import,World,284330,Gold compounds,kg,42.141,True,42.141,True,0.0,False,952928.8,22612.866329702665
2024-10-01,CHE,Switzerland,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,155289.108,True,155289.108,True,0.0,False,7630187918.362,49135.370900333844
